grain_size,T1-A_interpolated,T1-B_interpolated,T1-C_interpolated,T1-D_interpolated,T2-A_interpolated,T2-B_interpolated,T3-C_interpolated,T3-D_interpolated,T5-A_interpolated,T5-B_interpolated,T5-C_interpolated,T5-D_interpolated,T6-B_interpolated,T6-C_interpolated,T6-D_interpolated,T7-A_interpolated,T7-B_interpolated,T7-C_interpolated,T7-D_interpolated,T8-A_interpolated,T8-C_interpolated,T8-D_interpolated,T1-A_interpolated_kde,T1-B_interpolated_kde,T1-C_interpolated_kde,T1-D_interpolated_kde,T2-A_interpolated_kde,T2-B_interpolated_kde,T3-C_interpolated_kde,T3-D_interpolated_kde,T5-A_interpolated_kde,T5-B_interpolated_kde,T5-C_interpolated_kde,T5-D_interpolated_kde,T6-B_interpolated_kde,T6-C_interpolated_kde,T6-D_interpolated_kde,T7-A_interpolated_kde,T7-B_interpolated_kde,T7-C_interpolated_kde,T7-D_interpolated_kde,T8-A_interpolated_kde,T8-C_interpolated_kde,T8-D_interpolated_kde
1433.989221,0,0,0,0,0,0.047710805,0,0,0.019735312,0,0.010295404,0.011693505,0,0,0.037831426,0,0,0,0,0,0,0,0.009307902,0.007571271,0.009624754,0.011619753,0.007753919,0.047191501,0.013892992,0.011212831,0.028245584,0.017850426,0.024903856,0.026559722,0.009510934,0.011419241,0.038507759,0.014934933,0.00898784,0.013101188,0.01120262,0.014721837,0.013100767,0.008059421
1578.595349,0,0,0,0,0,0.041418702,0,0,0.006236202,0,0,0,0,0,0.027227266,0,0,0,0,0,0,0,0.005389412,0.004206697,0.005766555,0.007996073,0.004117969,0.041465361,0.009637163,0.006439827,0.02121007,0.012207068,0.019928568,0.01926435,0.005354632,0.007642443,0.029570665,0.009520928,0.005416017,0.009741108,0.007212778,0.010928448,0.009067595,0.004372167
1737.783827,0,0,0,0,0,0.034811145,0,0,0,0,0,0,0,0,0.016593813,0,0,0,0,0,0,0,0.002903404,0.002169115,0.003241787,0.005263062,0.002007284,0.03543742,0.006405754,0.003414376,0.01517756,0.007911073,0.015448589,0.013267901,0.002792118,0.004877436,0.021299128,0.005698428,0.00306597,0.007007364,0.004405322,0.007851269,0.006008924,0.002185884
1913.025165,0,0,0,0,0,0.028093351,0,0,0,0,0,0,0,0,0.006288786,0,0,0,0,0,0,0,0.001452287,0.001035981,0.001707456,0.003311198,0.000895741,0.029334149,0.004077603,0.001666195,0.010321205,0.004849782,0.011593128,0.008653735,0.001345394,0.002966055,0.014238505,0.003195173,0.001628163,0.004875769,0.002549892,0.005457726,0.003810096,0.001004749
2105.938165,0,0,0,0,0,0.021470537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000673237,0.000457497,0.000841426,0.001989884,0.000365117,0.023390668,0.0024843,0.000746386,0.006652245,0.002807507,0.008415855,0.0053315,0.000597853,0.001717395,0.008740524,0.001675082,0.000810017,0.003280694,0.001397437,0.003670106,0.00231016,0.000423718
2318.304869,0,0,0,0,0,0.015147918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000288757,0.000186513,0.00038747,0.001141534,0.000135682,0.017846706,0.001447859,0.000306204,0.004053444,0.001532276,0.005905633,0.003095332,0.000244562,0.00094614,0.004876958,0.000819596,0.000377076,0.002134099,0.000724487,0.002386957,0.001338622,0.000163642
2552.087025,0,0,0,0,0,0.009330711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000114422,7.01E-05,0.000166542,0.000624749,4.59E-05,0.012929124,0.000806755,0.000114812,0.002329654,0.000787295,0.004003076,0.001689787,9.19E-05,0.000495614,0.002450405,0.000373667,0.000164068,0.001341783,0.00035503,0.001501118,0.000740864,5.78E-05
2809.444206,0,0,0,0,0,0.004224133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18E-05,2.43E-05,6.67E-05,0.00032601,1.41E-05,0.008819493,0.000429566,3.93E-05,0.001260242,0.000380321,0.002619255,0.000865706,3.17E-05,0.000246695,0.001099525,0.000158513,6.67E-05,0.000815198,0.000164328,0.000912631,0.000391428,1.86E-05
3092.753761,0,0,0,0,0,3.34E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41E-05,7.72E-06,2.49E-05,0.000162119,3.94E-06,0.005616383,0.000218467,1.22E-05,0.000640455,0.000172529,0.001653208,0.000415488,1.00E-05,0.000116615,0.000437459,6.25E-05,2.53E-05,0.000478469,7.18E-05,0.000536284,0.000197326,5.48E-06
3404.632777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.37E-06,2.26E-06,8.66E-06,7.68E-05,9.97E-07,0.00331109,0.000106076,3.47E-06,0.000305253,7.34E-05,0.001005929,0.000186516,2.91E-06,5.23E-05,0.000153385,2.29E-05,8.93E-06,0.00027124,2.96E-05,0.000304525,9.49E-05,1.47E-06
3747.96225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25E-06,6.06E-07,2.80E-06,3.46E-05,2.29E-07,0.001792994,4.92E-05,8.94E-07,0.000136243,2.93E-05,0.000589708,7.82E-05,7.71E-07,2.23E-05,4.72E-05,7.76E-06,2.94E-06,0.00014848,1.15E-05,0.000167068,4.35E-05,3.58E-07
4125.913703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27E-07,1.49E-07,8.41E-07,1.49E-05,4.75E-08,0.000885509,2.17E-05,2.09E-07,5.69E-05,1.09E-05,0.000332885,3.06E-05,1.87E-07,8.99E-06,1.27E-05,2.44E-06,9.00E-07,7.85E-05,4.21E-06,8.85E-05,1.90E-05,7.95E-08
4541.97848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89E-08,3.37E-08,2.35E-07,6.07E-06,8.92E-09,0.000396359,9.16E-06,4.44E-08,2.22E-05,3.82E-06,0.000180847,1.12E-05,4.13E-08,3.44E-06,2.95E-06,7.10E-07,2.57E-07,4.00E-05,1.45E-06,4.53E-05,7.90E-06,1.61E-08
5000,0,1.09E-16,0,0,0,0,0,0,4.87E-17,0,0,0,0,0,3.97E-17,0,0,0,0,0,1.20E-16,0,1.74E-08,6.98E-09,6.09E-08,2.36E-06,1.52E-09,0.000159922,3.68E-06,8.54E-09,8.07E-06,1.25E-06,9.45E-05,3.78E-06,8.35E-09,1.25E-06,5.98E-07,1.91E-07,6.80E-08,1.97E-05,4.71E-07,2.24E-05,3.13E-06,2.94E-09
12700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
