Time,DifL,Dif,DifI
2023-09-10 22:45:00,,1.8584324690741135e-06,5.956089027972314e-08
2023-09-10 23:00:00,,1.8562459088974028e-06,5.8903401786518095e-08
2023-09-10 23:15:00,,1.8540552862904431e-06,5.827575897768232e-08
2023-09-10 23:30:00,,1.8518874999161702e-06,5.767336902501986e-08
2023-09-10 23:45:00,,1.8497590320433138e-06,5.709139630715583e-08
2023-09-11 00:00:00,,1.8476946695639462e-06,5.652538679212041e-08
2023-09-11 00:15:00,,1.8457379572745658e-06,5.597147853730096e-08
2023-09-11 00:30:00,,1.8439364047716222e-06,5.54266710862968e-08
2023-09-11 00:45:00,,1.8423401526679351e-06,5.488867714045168e-08
2023-09-11 01:00:00,,1.8410025129587888e-06,5.435564682577353e-08
2023-09-11 01:15:00,,1.8399751380618639e-06,5.382619515627678e-08
2023-09-11 01:30:00,,1.8393088797018697e-06,5.329939762919738e-08
2023-09-11 01:45:00,,1.8390473523927219e-06,5.277459908976239e-08
2023-09-11 02:00:00,,1.8392347336271754e-06,5.2251649671897974e-08
2023-09-11 02:15:00,,1.839906399123488e-06,5.173080601256963e-08
2023-09-11 02:30:00,,1.8411023040907345e-06,5.121293549033688e-08
2023-09-11 02:45:00,,1.842843807106948e-06,5.069959146269278e-08
2023-09-11 03:00:00,,1.8451572729480708e-06,5.019307809814079e-08
2023-09-11 03:15:00,,1.84806677626529e-06,4.969635552511696e-08
2023-09-11 03:30:00,,1.8516181225618487e-06,4.921233092763448e-08
2023-09-11 03:45:00,,1.8558406858368611e-06,4.874451899473033e-08
2023-09-11 04:00:00,,1.8607607944647955e-06,4.8296577108799866e-08
2023-09-11 04:15:00,,1.8664181376987415e-06,4.787141120000797e-08
2023-09-11 04:30:00,,1.8728399390519888e-06,4.747189750113308e-08
2023-09-11 04:45:00,,1.8800623788642884e-06,4.709965551002083e-08
2023-09-11 05:00:00,,1.8881167618360835e-06,4.6755455498999405e-08
2023-09-11 05:15:00,,1.897010858730457e-06,4.6439807592251616e-08
2023-09-11 05:30:00,,1.9067333722471803e-06,4.6152437499668056e-08
2023-09-11 05:45:00,,1.9172534416694654e-06,4.589206444387358e-08
2023-09-11 06:00:00,,1.9285267137506784e-06,4.5656072856476145e-08
2023-09-11 06:15:00,,1.9404676798416764e-06,4.544175383627674e-08
2023-09-11 06:30:00,,1.9529621110298067e-06,4.5245890840151584e-08
2023-09-11 06:45:00,,1.96587644326192e-06,4.506470648010062e-08
2023-09-11 07:00:00,,1.9790514663181805e-06,4.489448529867896e-08
2023-09-11 07:15:00,,1.9923094433022743e-06,4.4731718487456194e-08
2023-09-11 07:30:00,,2.0054646282711506e-06,4.4573136283664725e-08
2023-09-11 07:45:00,,2.018337749521739e-06,4.4415724769033234e-08
2023-09-11 08:00:00,,2.0307546449775043e-06,4.4257334449438426e-08
2023-09-11 08:15:00,,2.042550730141956e-06,4.4096491192676564e-08
2023-09-11 08:30:00,,2.053576049722152e-06,4.393271668285094e-08
2023-09-11 08:45:00,,2.0636986348784436e-06,4.376654908740553e-08
2023-09-11 09:00:00,,2.07280717530501e-06,4.359956006386951e-08
2023-09-11 09:15:00,,2.080788095072251e-06,4.34353654252477e-08
2023-09-11 09:30:00,,2.087570146635068e-06,4.327742360205509e-08
2023-09-11 09:45:00,,2.0931105505915033e-06,4.312972832697428e-08
2023-09-11 10:00:00,,2.0973897344504274e-06,4.2997265375797165e-08
2023-09-11 10:15:00,,2.100426905504415e-06,4.288516063867053e-08
2023-09-11 10:30:00,,2.1022965441005394e-06,4.279844474259676e-08
2023-09-11 10:45:00,,2.10313854852327e-06,4.2741282169668054e-08
