SP25C01,SP25D01,SPST5C01,SPST5C02,SPT0C01,SPT0C02,SPT0D01,SPT0D02,SPT25B01,SPT4A01,SPT4B01,SPT4C01,SPT4D01,SPT4D02,SPT5B01,SPT5B02,SPT5D01,SPT5D02,SPT6A01,SPT6A02,SPT6A03,SPT6A04,SPT6A05,SPT6A06,SPT6D01,SPT6D02,SPT7A01,SPT7A02,SPT7A03,SPT7A04,SPT7A05,SPT7A06,SPT7A07,SPT7A08,SPT7A09,SPT8A01,SPT8A02,SPT8A03,SPT8A04
13.868,8.958,10.538,9.67,7.904,7.533,10.27,9.083,17.39,16.353,22.375,13.607,6.811,15.886,3.837,6.596,7.878,6.123,10.537,5.631,7.723,5.827,12.172,10.794,9.446,5.727,7.849,11.581,7.124,4.554,6.366,17.334,13.432,8.207,7.497,10.931,7.943,4.965,6.364
12.04,7.841,10.106,9.47,7.137,6.502,9.742,7.736,15.449,15.893,23.067,12.464,6.609,15.462,2.994,5.682,6.463,5.121,8.536,4.314,6.795,4.747,9.785,8.468,7.442,4.442,6.824,10.044,5.968,3.341,4.991,16.577,11.586,7.822,7.259,9.582,6.735,4.199,5.548
11.185,7.517,9.454,9.263,6.397,5.455,9.15,6.487,14.837,16.528,22.324,12.286,6.34,14.691,2.273,4.834,5.797,4.25,6.79,3.53,5.803,4.348,8.334,7.156,6.451,3.9,5.769,8.454,5.46,2.398,4.305,16.716,10.691,7.22,6.892,8.199,5.632,3.397,4.651
10.847,7.495,8.746,8.847,5.736,4.589,8.552,5.566,14.526,17.338,19.82,12.265,6.216,13.948,1.756,4.193,5.331,3.579,5.807,3.046,5.039,4.218,7.417,6.318,5.837,3.64,4.878,7.088,5.095,1.793,3.899,16.886,10.104,6.62,6.492,7.136,4.849,2.753,3.884
9.434,6.698,7.639,7.746,5.103,3.765,7.621,4.793,12.674,15.238,17.566,10.84,5.637,12.362,1.408,3.695,4.372,3.074,5.436,2.512,4.331,3.664,6.279,5.356,4.967,3.216,4.139,5.848,4.204,1.42,3.286,15.047,8.785,5.653,5.745,6.096,4.25,2.218,3.239
7.827,5.697,7.004,7.039,4.814,3.384,7.14,4.669,10.263,12.054,21.391,8.876,5.041,10.96,1.381,3.74,3.54,3.019,6.03,2.276,4.134,3.076,5.623,4.901,4.423,2.953,3.974,5.406,3.396,1.488,2.896,12.303,7.508,4.958,5.211,5.829,4.36,2.086,3.032
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
