Time,30L,30I,45L,45I,60L,60I
2023-05-06 09:45:00,,3.8393770463681326e-07,,5.847502266549556e-07,,
2023-05-06 10:00:00,,3.8226518462866997e-07,,5.846651956275015e-07,,
2023-05-06 10:15:00,,3.804368437096921e-07,,5.843078645811839e-07,,
2023-05-06 10:30:00,,3.783966388426038e-07,,5.83553009150957e-07,,
2023-05-06 10:45:00,,3.7612177759443004e-07,,5.823993194614076e-07,,
2023-05-06 11:00:00,,3.7359293390726366e-07,,5.80844747324821e-07,,
2023-05-06 11:15:00,,3.7079548411803144e-07,,5.788864426006084e-07,,
2023-05-06 11:30:00,,3.677629673354734e-07,,5.766711529022918e-07,,
2023-05-06 11:45:00,,3.644445256206701e-07,,5.740647943576535e-07,,
2023-05-06 12:00:00,,3.608429607449299e-07,,5.710663371787081e-07,,
2023-05-06 12:15:00,,3.5701346767339646e-07,,5.678099352993479e-07,,
2023-05-06 12:30:00,,3.529675239540073e-07,,5.643019794629711e-07,,
2023-05-06 12:45:00,,3.487622943660494e-07,,5.606526549361921e-07,,
2023-05-06 13:00:00,,3.4445615461266266e-07,,5.569720414061525e-07,,
2023-05-06 13:15:00,,3.400674355530576e-07,,5.532712807897995e-07,,
2023-05-06 13:30:00,,3.356566620122225e-07,,5.496433009141624e-07,,
2023-05-06 13:45:00,,3.3128783875132817e-07,,5.461866825844953e-07,,
2023-05-06 14:00:00,,3.270135217303061e-07,,5.429785522131201e-07,,
2023-05-06 14:15:00,,3.2291942566331644e-07,,5.401569409400736e-07,,
2023-05-06 14:30:00,,3.1904369317135564e-07,,5.377852942977393e-07,,
2023-05-06 14:45:00,,3.1538820645022207e-07,,5.358667121280591e-07,,
2023-05-06 15:00:00,,3.120215526195791e-07,,5.344954981496566e-07,,
2023-05-06 15:15:00,,3.088957870862569e-07,,5.336145485023233e-07,,
2023-05-06 15:30:00,,3.060767145890425e-07,,5.332952100692953e-07,,
2023-05-06 15:45:00,,3.0355272342790195e-07,,5.335343912086731e-07,,
2023-05-06 16:00:00,,3.013115644509697e-07,,5.343238196573165e-07,,
2023-05-06 16:15:00,,2.993442384443108e-07,,5.356553037263969e-07,,
2023-05-06 16:30:00,,2.976684717603392e-07,,5.375490652458741e-07,,
2023-05-06 16:45:00,,2.962960743685302e-07,,5.4003029527176e-07,,
2023-05-06 17:00:00,,2.9519516770817755e-07,,5.430807820921518e-07,,
2023-05-06 17:15:00,,2.9432900940596867e-07,,5.466556578141152e-07,,
2023-05-06 17:30:00,,2.936569613324222e-07,,5.506823048903293e-07,,
2023-05-06 17:45:00,,2.930980249682779e-07,,5.550159367210043e-07,,
2023-05-06 18:00:00,,2.926027070473986e-07,,5.595159249962079e-07,,
2023-05-06 18:15:00,,2.9212843796106704e-07,,5.64046083229799e-07,,
2023-05-06 18:30:00,,2.9164014223849247e-07,,5.684902011480772e-07,,
2023-05-06 18:45:00,,2.9109878980183236e-07,,5.727472452843947e-07,,
2023-05-06 19:00:00,,2.904626326845044e-07,,5.767365884138368e-07,,
2023-05-06 19:15:00,,2.897063997286204e-07,,5.80426768501934e-07,,
2023-05-06 19:30:00,,2.8880512544435407e-07,,5.838143538399918e-07,,
2023-05-06 19:45:00,,2.8773505524042926e-07,,5.869169241820405e-07,,
2023-05-06 20:00:00,,2.864895087134777e-07,,5.897909367515573e-07,,
2023-05-06 20:15:00,,2.850629115685507e-07,,5.925012348516147e-07,,
2023-05-06 20:30:00,,2.8345116587274543e-07,,5.951071249056191e-07,,
2023-05-06 20:45:00,,2.8166388621915046e-07,,5.976755341449541e-07,,
2023-05-06 21:00:00,,2.7971003356990666e-07,,6.002542041575989e-07,,
2023-05-06 21:15:00,,2.775771106371629e-07,,6.028193612389224e-07,,
2023-05-06 21:30:00,,2.753068965240185e-07,,6.054446280904227e-07,,
2023-05-06 21:45:00,,2.72901534803944e-07,,6.081039064597033e-07,,
2023-05-06 22:00:00,,2.703935575278911e-07,,6.108183193372905e-07,,
2023-05-06 22:15:00,,2.678417793220078e-07,,6.136734346209696e-07,,
2023-05-06 22:30:00,,2.652833638727155e-07,,6.166701228445291e-07,,
2023-05-06 22:45:00,,2.6279337627934363e-07,,6.198979561162103e-07,,
2023-05-06 23:00:00,,2.604448738160831e-07,,6.234244704406375e-07,,
2023-05-06 23:15:00,,2.5829939004345257e-07,,6.272582293364668e-07,,
2023-05-06 23:30:00,,2.564197482453784e-07,,6.31433426925133e-07,,
2023-05-06 23:45:00,,2.5485055340247774e-07,,6.359748004309979e-07,,
2023-05-07 00:00:00,,2.5361550577406277e-07,,6.409027017283385e-07,,
2023-05-07 00:15:00,,2.5270830060753e-07,,6.461779318202599e-07,,
2023-05-07 00:30:00,,2.52133205449488e-07,,6.518525073257615e-07,,
2023-05-07 00:45:00,,2.51879399500482e-07,,6.579279863357829e-07,,
2023-05-07 01:00:00,,2.5193369117322015e-07,,6.643923328611229e-07,,
2023-05-07 01:15:00,,2.522803157574835e-07,,6.71219134661049e-07,,
2023-05-07 01:30:00,,2.5290190741494744e-07,,6.783762922937091e-07,,
2023-05-07 01:45:00,,2.5377814062463795e-07,,6.858273141131532e-07,,
2023-05-07 02:00:00,,2.5488137375976205e-07,,6.935204176587704e-07,,
2023-05-07 02:15:00,,2.5617549463935436e-07,,7.013832442595354e-07,,
2023-05-07 02:30:00,,2.5760688640800595e-07,,7.092982109933142e-07,,
2023-05-07 02:45:00,,2.5912747798980683e-07,,7.171526017277446e-07,,
2023-05-07 03:00:00,,2.607049155093108e-07,,7.248649232023848e-07,,
2023-05-07 03:15:00,,2.6229501270312186e-07,,7.323458644500127e-07,,
2023-05-07 03:30:00,,2.6385484548632817e-07,,7.395295361239175e-07,,
2023-05-07 03:45:00,,2.6533381252737485e-07,,7.463645817449856e-07,,
2023-05-07 04:00:00,,2.667032046991453e-07,,7.528484986860727e-07,,
2023-05-07 04:15:00,,2.679628759559371e-07,,7.590229371576812e-07,,
2023-05-07 04:30:00,,2.691052230694086e-07,,7.64903088197362e-07,,
2023-05-07 04:45:00,,2.7011215036820627e-07,,7.704589082442036e-07,,
2023-05-07 05:00:00,,2.7100316881869227e-07,,7.75694284615262e-07,,
2023-05-07 05:15:00,,2.717869061458833e-07,,7.806049454263217e-07,,
2023-05-07 05:30:00,,2.7245831122492166e-07,,7.851708771201381e-07,,
2023-05-07 05:45:00,,2.7303706118532244e-07,,7.894131292208715e-07,,
2023-05-07 06:00:00,,2.735113273272581e-07,,7.933140941318818e-07,,
2023-05-07 06:15:00,,2.7387881752480596e-07,,7.968738822035826e-07,,
