Desktop_Software_Build_Version,1.7
#,Year,Month,Day,Hour,Minute,Second,VelX,VelY,VelZ,SNR1,SNR2,SNR3,AccX,AccY,AccZ,Temp
(),(),(),(),(),(),(),(m/s),(m/s),(m/s),(dB),(dB),(dB),(cnts),(cnts),(cnts),(°C)
02,2023,07,13,17,37,48,0.633,0.031,-0.049,45.751,45.154,44.644,37.663,371.817,16554.84,14.444
02,2023,07,13,17,37,48,0.439,0,-0.089,47.042,46.244,45.796,-6.493,469.502,16541.95,14.444
02,2023,07,13,17,37,49,0.285,-0.097,-0.224,44.373,45.416,46.948,59.722,298.048,16551.19,14.444
02,2023,07,13,17,37,49,0.337,0.005,0.03,45.707,45.263,46.165,19.209,469.25,16532.63,14.444
02,2023,07,13,17,37,50,0.348,-0.075,-0.043,45.904,44.413,46.513,119.54,306.687,16498.93,14.444
02,2023,07,13,17,37,50,0.314,-0.043,-0.724,47.13,45.154,47.382,232.044,183.404,16541.68,14.444
02,2023,07,13,17,37,51,0.387,-0.045,-0.056,44.416,44.347,46.317,161.98,167.295,16502.71,14.444
02,2023,07,13,17,37,51,0.183,0.051,0.227,44.942,46.419,48.447,113.715,166.241,16526.21,14.444
02,2023,07,13,17,37,52,0.448,-0.042,-0.179,45.489,45.568,44.448,92.726,166.567,16543.58,14.444
02,2023,07,13,17,37,52,0.51,-0.088,-0.151,44.832,46.092,47.839,102.179,161.856,16554.94,14.444
02,2023,07,13,17,37,53,0.47,-0.016,-0.085,46.451,45.285,48.469,118.43,238.745,16568.57,14.444
02,2023,07,13,17,37,53,0.181,-0.024,0.107,46.583,43.933,47.556,158.563,172.389,16525.02,14.444
02,2023,07,13,17,37,54,0.5,-0.043,-0.105,45.292,44.587,45.883,100.946,214.561,16546.27,14.444
02,2023,07,13,17,37,54,0.322,-0.039,0.078,45.029,47.116,47.339,158.794,209.146,16521.37,14.444
02,2023,07,13,17,37,55,0.425,-0.035,-0.083,45.751,46.222,45.687,129.856,225.551,16541.65,14.444
02,2023,07,13,17,37,55,0.496,0.024,0.049,44.766,45.655,47.774,138.825,107.112,16543.21,14.444
02,2023,07,13,17,37,56,0.35,0.017,-0.226,46.189,44.347,46.622,136.087,177.423,16534.31,14.444
02,2023,07,13,17,37,56,0.692,0,0.391,45.445,46.201,46.774,137.683,209.61,16549.94,14.444
02,2023,07,13,17,37,57,0.5,-0.002,0.177,46.779,44.544,46.1,136.633,260.497,16523.69,14.437
02,2023,07,13,17,37,57,0.588,-0.053,0.077,46.714,46.68,47.665,147.992,310.153,16532.8,14.43
02,2023,07,13,17,37,58,0.577,0,0.012,49.23,45.307,48.056,88.823,299.162,16524.29,14.426
02,2023,07,13,17,37,58,0.73,-0.09,-0.143,44.329,44.674,46.665,146.113,241.269,16525.63,14.415
02,2023,07,13,17,37,59,0.449,-0.031,-0.216,45.313,45.263,46.513,84.506,30.046,16498.77,14.419
02,2023,07,13,17,37,59,0.31,-0.016,-0.074,43.979,45.895,45.187,116.853,180.782,16538.86,14.415
02,2023,07,13,17,38,00,0.501,0,0.012,45.729,44.565,46.143,121.034,133.177,16573.1,14.412
02,2023,07,13,17,38,00,0.259,-0.002,0.387,45.423,45.437,46.926,142.05,121.554,16547.87,14.412
02,2023,07,13,17,38,01,0.49,-0.131,-0.073,46.845,46.092,45.687,145.123,91.1,16545.08,14.408
02,2023,07,13,17,38,01,0.436,0.016,0.002,45.839,45.067,46.513,162.938,89.152,16524.49,14.408
02,2023,07,13,17,38,02,0.668,0.022,0.364,46.779,47.116,47.643,143.481,76.67,16542.04,14.408
02,2023,07,13,17,38,02,0.505,-0.023,0.324,46.473,43.998,46.861,108.747,114.952,16517.19,14.408
02,2023,07,13,17,38,03,0.286,-0.044,0.127,47.151,44.74,47.687,137.637,148.499,16525.09,14.408
02,2023,07,13,17,38,03,0.5,-0.009,0.101,45.642,44.347,47.382,116.727,137.467,16529.8,14.408
02,2023,07,13,17,38,04,0.626,-0.048,-0.137,47.895,47.138,44.361,137.688,161.317,16526.53,14.408
02,2023,07,13,17,38,04,0.395,0.039,0.206,45.117,44.129,47.317,132.416,115.204,16547.84,14.408
02,2023,07,13,17,38,05,0.378,-0.085,-0.169,44.701,43.432,46.035,164.886,157.957,16525.27,14.408
02,2023,07,13,17,38,05,0.381,-0.027,-0.209,45.27,45.917,46.143,171.244,137.046,16519.19,14.408
02,2023,07,13,17,38,06,0.534,-0.015,0.049,46.101,45.655,46.926,162.917,124.586,16543.26,14.408
