Date_Time,Q (L/s),SSC (mg/L)
4/21/2023 15:45,216.3199058,11.77242494
4/21/2023 16:00,211.6148615,12.07926
4/21/2023 16:15,230.9684337,9.850156
4/21/2023 16:30,204.2665467,11.25193
4/21/2023 16:45,211.6148615,8.453092
4/21/2023 17:00,197.5742996,9.203582
4/21/2023 17:15,211.6148615,12.40122
4/21/2023 17:30,199.7841662,11.15097
4/21/2023 17:45,218.7053465,8.462358
4/21/2023 18:00,223.5428987,8.913583
4/21/2023 18:15,204.2665467,7.443434
4/21/2023 18:30,197.5742996,9.026313
4/21/2023 18:45,223.5428987,11.12215
4/21/2023 19:00,216.3199058,12.40393
4/21/2023 19:15,204.7194164,13.48173
4/21/2023 19:30,193.216419,11.91035
4/21/2023 19:45,211.6148615,9.337187
4/21/2023 20:00,199.7841662,8.232473
4/21/2023 20:15,228.4704679,9.032546
4/21/2023 20:30,182.6752212,10.46238
4/21/2023 20:45,186.8318754,8.482746
4/21/2023 21:00,199.7841662,11.42352
4/21/2023 21:15,236.0335857,8.375389
4/21/2023 21:30,197.5742996,7.016702
4/21/2023 21:45,184.74368,8.207192
4/21/2023 22:00,186.8318754,8.460167
4/21/2023 22:15,204.7194164,8.629294
4/21/2023 22:30,221.1129549,8.143939
4/21/2023 22:45,209.2949274,7.237703
4/21/2023 23:00,216.3199058,9.137219
4/21/2023 23:15,182.6752212,7.811295
4/21/2023 23:30,186.8318754,9.374622
4/21/2023 23:45,204.2665467,8.452457
4/22/2023 0:00,199.7841662,7.074364
4/22/2023 0:15,182.2638844,8.760818
4/22/2023 0:30,176.1870145,10.56106
4/22/2023 0:45,176.1870145,7.258745
4/22/2023 1:00,216.3199058,7.530726
4/22/2023 1:15,186.8318754,6.651946
4/22/2023 1:30,193.216419,9.837541
4/22/2023 1:45,204.7194164,6.396997
4/22/2023 2:00,206.9965,7.679562
4/22/2023 2:15,176.1870145,9.082696
4/22/2023 2:30,199.7841662,8.1937
4/22/2023 2:45,197.5742996,6.416412
4/22/2023 3:00,216.3199058,8.558845
4/22/2023 3:15,176.1870145,7.401169
4/22/2023 3:30,204.2665467,9.365844
4/22/2023 3:45,216.3199058,8.327484
4/22/2023 4:00,211.6148615,9.303319
4/22/2023 4:15,211.6148615,10.57619
4/22/2023 4:30,172.2315325,8.433867
4/22/2023 4:45,204.2665467,8.360759
4/22/2023 5:00,223.5428987,8.088403
4/22/2023 5:15,199.7841662,7.360827
4/22/2023 5:30,182.6752212,7.911787
4/22/2023 5:45,193.216419,7.460176
4/22/2023 6:00,197.5742996,8.004535
