,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size (um),Vol Conc,Cum Conc,,D5:,9.85,,Size (um),Vol Conc,Cum Conc,,D5:,9.14,,Size (um),Vol Conc,Cum Conc,,D5:,7.92,,Size (um),Vol Conc,Cum Conc,,D5:,10.88,,Size (um),Vol Conc,Cum Conc,,D5:,11.53,,Size (um),Vol Conc,Cum Conc,,D5:,8.98,,Size (um),Vol Conc,Cum Conc,,D5:,11.01,,Size (um),Vol Conc,Cum Conc,,D5:,7.92,,Size (um),Vol Conc,Cum Conc,,D5:,9.28,,Size (um),Vol Conc,Cum Conc,,D5:,8.5,,Size (um),Vol Conc,Cum Conc,,D5:,10.76,,Size (um),Vol Conc,Cum Conc,,D5:,11.03,,Size (um),Vol Conc,Cum Conc,,D5:,10.81,,Size (um),Vol Conc,Cum Conc,,D5:,10.49,,Size (um),Vol Conc,Cum Conc,,D5:,9.54,,Size (um),Vol Conc,Cum Conc,,D5:,9.29,,Size (um),Vol Conc,Cum Conc,,D5:,8.21,,Size (um),Vol Conc,Cum Conc,,D5:,5.45,,Size (um),Vol Conc,Cum Conc,,D5:,9.92,,Size (um),Vol Conc,Cum Conc,,D5:,10.13,,Size (um),Vol Conc,Cum Conc,,D5:,8.07,,Size (um),Vol Conc,Cum Conc,,D5:,7.95,,Size (um),Vol Conc,Cum Conc,,D5:,8.82,,Size (um),Vol Conc,Cum Conc,,D5:,10.52,,Size (um),Vol Conc,Cum Conc,,D5:,7.42,,Size (um),Vol Conc,Cum Conc,,D5:,8.34,,Size (um),Vol Conc,Cum Conc,,D5:,9.34,,Size (um),Vol Conc,Cum Conc,,D5:,8.83,,Size (um),Vol Conc,Cum Conc,,D5:,7.24,,Size (um),Vol Conc,Cum Conc,,D5:,6.39,,Size (um),Vol Conc,Cum Conc,,D5:,9.46,,Size (um),Vol Conc,Cum Conc,,D5:,9.41,,Size (um),Vol Conc,Cum Conc,,D5:,8.37,,Size (um),Vol Conc,Cum Conc,,D5:,7.83,,Size (um),Vol Conc,Cum Conc,,D5:,7.74,,Size (um),Vol Conc,Cum Conc,,D5:,7.84,,Size (um),Vol Conc,Cum Conc,,D5:,8.26,,Size (um),Vol Conc,Cum Conc,,D5:,8.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32.55,5.38,14,,,,,32.55,10.32,17.67,,,,,32.55,7.44,18.82,,,,,32.55,3.25,16.06,,,,,32.55,6.79,14.99,,,,,32.55,6.22,15.73,,,,,32.55,7.39,15.4,,,,,32.55,8.31,20.62,,,,,32.55,9.42,19.43,,,,,32.55,10.43,22.55,,,,,32.55,5.98,18.02,,,,,32.55,7.46,19,,,,,32.55,13.29,20.02,,,,,32.55,12.33,20.24,,,,,32.55,11.61,21.3,,,,,32.55,10.17,23.22,,,,,32.55,6.27,21.41,,,,,32.55,8.69,26.42,,,,,32.55,6.68,20.73,,,,,32.55,8.72,20.27,,,,,32.55,8.01,18.01,,,,,32.55,7.99,19.25,,,,,32.55,4.3,18.03,,,,,32.55,4,16.72,,,,,32.55,4.61,21.86,,,,,32.55,5.79,19.77,,,,,32.55,4.57,16.87,,,,,32.55,4.55,17.49,,,,,32.55,7.27,21.58,,,,,32.55,6.67,24.32,,,,,32.55,4.13,17.78,,,,,32.55,4.3,17.6,,,,,32.55,5.79,19.53,,,,,32.55,6.62,20.26,,,,,32.55,6.58,19.46,,,,,32.55,6.29,20.34,,,,,32.55,4.67,20.91,,,,,32.55,4.33,19.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38.41,6.36,16.05,,,,,38.41,12.87,21.28,,,,,38.41,8.89,22,,,,,38.41,4.09,19.29,,,,,38.41,8.54,18.04,,,,,38.41,7.53,18.26,,,,,38.41,9.44,18.68,,,,,38.41,10.42,24.97,,,,,38.41,12.12,23.96,,,,,38.41,13.63,28.19,,,,,38.41,7.72,22.25,,,,,38.41,9.98,24.07,,,,,38.41,16.83,24.73,,,,,38.41,15.57,24.93,,,,,38.41,14.65,26.16,,,,,38.41,12.88,28.81,,,,,38.41,7.55,25.67,,,,,38.41,10.42,31.24,,,,,38.41,8.57,26.01,,,,,38.41,11.15,25.36,,,,,38.41,9.61,20.99,,,,,38.41,9.69,22.72,,,,,38.41,5.4,21.52,,,,,38.41,4.98,20.23,,,,,38.41,5.88,26.81,,,,,38.41,7.34,24.21,,,,,38.41,5.56,19.86,,,,,38.41,5.53,20.58,,,,,38.41,9.15,25.83,,,,,38.41,8.3,29.08,,,,,38.41,5.18,21.17,,,,,38.41,5.45,21.16,,,,,38.41,7.03,22.98,,,,,38.41,8.13,24.15,,,,,38.41,8.13,23.03,,,,,38.41,7.92,24.48,,,,,38.41,5.84,25.54,,,,,38.41,5.3,23.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45.32,7.68,18.51,,,,,45.32,15.91,25.74,,,,,45.32,10.75,25.85,,,,,45.32,5.1,23.31,,,,,45.32,10.7,21.87,,,,,45.32,9.34,21.41,,,,,45.32,12.08,22.87,,,,,45.32,12.86,30.34,,,,,45.32,15.56,29.77,,,,,45.32,17.38,35.37,,,,,45.32,9.64,27.53,,,,,45.32,12.78,30.57,,,,,45.32,20.88,30.57,,,,,45.32,19.39,30.77,,,,,45.32,18.17,32.18,,,,,45.32,15.75,35.66,,,,,45.32,9.02,30.76,,,,,45.32,12.39,36.96,,,,,45.32,10.78,32.64,,,,,45.32,14.07,31.79,,,,,45.32,11.63,24.59,,,,,45.32,11.75,26.92,,,,,45.32,6.59,25.78,,,,,45.32,6.13,24.55,,,,,45.32,7.29,32.94,,,,,45.32,9.15,29.75,,,,,45.32,6.84,23.53,,,,,45.32,6.81,24.38,,,,,45.32,11.27,31.06,,,,,45.32,10,34.81,,,,,45.32,6.32,25.31,,,,,45.32,6.74,25.57,,,,,45.32,8.4,27.12,,,,,45.32,9.95,28.93,,,,,45.32,10.01,27.43,,,,,45.32,9.8,29.6,,,,,45.32,7.15,31.21,,,,,45.32,6.43,27.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.48,9.06,21.42,,,,,53.48,18.75,30.99,,,,,53.48,12.79,30.44,,,,,53.48,6.13,28.14,,,,,53.48,12.92,26.49,,,,,53.48,11.38,25.24,,,,,53.48,14.85,28.03,,,,,53.48,15.05,36.63,,,,,53.48,18.37,36.63,,,,,53.48,20.56,43.87,,,,,53.48,11.48,33.82,,,,,53.48,15.33,38.37,,,,,53.48,24.86,37.52,,,,,53.48,23.16,37.74,,,,,53.48,21.64,39.35,,,,,53.48,18.22,43.57,,,,,53.48,10.38,36.61,,,,,53.48,13.95,43.41,,,,,53.48,12.87,40.56,,,,,53.48,16.77,39.45,,,,,53.48,13.68,28.84,,,,,53.48,13.88,31.88,,,,,53.48,7.72,30.77,,,,,53.48,7.27,29.67,,,,,53.48,8.61,40.19,,,,,53.48,10.84,36.6,,,,,53.48,8.26,27.96,,,,,53.48,8.19,28.94,,,,,53.48,13.34,37.26,,,,,53.48,11.55,41.43,,,,,53.48,7.58,30.27,,,,,53.48,8.15,30.9,,,,,53.48,9.83,31.95,,,,,53.48,11.88,34.62,,,,,53.48,12.02,32.72,,,,,53.48,11.64,35.68,,,,,53.48,8.39,37.87,,,,,53.48,7.59,33.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63.11,10.95,24.94,,,,,63.11,21.74,37.08,,,,,63.11,15.29,35.91,,,,,63.11,7.19,33.81,,,,,63.11,15.42,32.01,,,,,63.11,14.12,30,,,,,63.11,18.08,34.31,,,,,63.11,16.98,43.72,,,,,63.11,20.81,44.4,,,,,63.11,23.05,53.39,,,,,63.11,13.51,41.22,,,,,63.11,17.71,47.38,,,,,63.11,28.83,45.59,,,,,63.11,27.07,45.88,,,,,63.11,24.89,47.59,,,,,63.11,20.28,52.39,,,,,63.11,11.65,43.19,,,,,63.11,15.28,50.47,,,,,63.11,14.6,49.55,,,,,63.11,18.91,48.08,,,,,63.11,16.3,33.89,,,,,63.11,16.42,37.76,,,,,63.11,9.09,36.64,,,,,63.11,8.38,35.57,,,,,63.11,9.78,48.42,,,,,63.11,12.26,43.72,,,,,63.11,9.96,33.31,,,,,63.11,9.78,34.4,,,,,63.11,15.58,44.49,,,,,63.11,12.91,48.84,,,,,63.11,9.08,36.22,,,,,63.11,9.98,37.42,,,,,63.11,11.56,37.64,,,,,63.11,14,41.34,,,,,63.11,14.39,39.04,,,,,63.11,13.57,42.77,,,,,63.11,9.54,45.44,,,,,63.11,8.64,40.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74.48,12.65,29.01,,,,,74.48,23.29,43.6,,,,,74.48,17.34,42.13,,,,,74.48,7.78,39.94,,,,,74.48,17.07,38.11,,,,,74.48,16.69,35.62,,,,,74.48,20.48,41.43,,,,,74.48,17.59,51.07,,,,,74.48,21.27,52.35,,,,,74.48,22.68,62.77,,,,,74.48,14.17,48.97,,,,,74.48,17.74,56.4,,,,,74.48,30.04,53.99,,,,,74.48,28.48,54.45,,,,,74.48,25.63,56.08,,,,,74.48,20.08,61.11,,,,,74.48,12.3,50.12,,,,,74.48,15.45,57.61,,,,,74.48,15.06,58.81,,,,,74.48,19.35,56.92,,,,,74.48,18.21,39.54,,,,,74.48,18.2,44.27,,,,,74.48,9.65,42.87,,,,,74.48,9.01,41.92,,,,,74.48,10.14,56.95,,,,,74.48,12.69,51.4,,,,,74.48,11.23,39.33,,,,,74.48,10.83,40.43,,,,,74.48,16.51,52.16,,,,,74.48,13.14,56.37,,,,,74.48,9.94,42.72,,,,,74.48,11.06,44.65,,,,,74.48,12.48,43.78,,,,,74.48,15.27,48.66,,,,,74.48,15.87,46.02,,,,,74.48,14.47,50.33,,,,,74.48,9.93,53.31,,,,,74.48,9.29,47.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.89,15.15,33.88,,,,,87.89,24.49,50.46,,,,,87.89,19.47,49.1,,,,,87.89,8.53,46.67,,,,,87.89,18.65,44.78,,,,,87.89,19.78,42.29,,,,,87.89,22.69,49.31,,,,,87.89,17.87,58.54,,,,,87.89,20.85,60.14,,,,,87.89,20.36,71.18,,,,,87.89,14.34,56.83,,,,,87.89,16.44,64.76,,,,,87.89,29.63,62.27,,,,,87.89,28.24,62.95,,,,,87.89,24.82,64.31,,,,,87.89,18.67,69.22,,,,,87.89,12.55,57.2,,,,,87.89,15.05,64.57,,,,,87.89,14.57,67.78,,,,,87.89,18.69,65.46,,,,,87.89,19.92,45.71,,,,,87.89,19.74,51.33,,,,,87.89,10.12,49.42,,,,,87.89,9.34,48.5,,,,,87.89,9.88,65.26,,,,,87.89,12.58,59.01,,,,,87.89,12.19,45.87,,,,,87.89,11.47,46.83,,,,,87.89,16.97,60.04,,,,,87.89,12.99,63.82,,,,,87.89,10.91,49.86,,,,,87.89,11.9,52.43,,,,,87.89,13.34,50.34,,,,,87.89,15.97,56.32,,,,,87.89,16.77,53.39,,,,,87.89,14.73,58.02,,,,,87.89,9.77,61.06,,,,,87.89,9.69,54.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103.72,16.86,39.29,,,,,103.72,23.19,56.96,,,,,103.72,19.46,56.07,,,,,103.72,8.26,53.17,,,,,103.72,18.49,51.4,,,,,103.72,21.37,49.49,,,,,103.72,22.49,57.12,,,,,103.72,16.35,65.37,,,,,103.72,18.66,67.11,,,,,103.72,16.68,78.07,,,,,103.72,13.32,64.13,,,,,103.72,13.99,71.88,,,,,103.72,26.61,69.72,,,,,103.72,25.41,70.59,,,,,103.72,21.84,71.54,,,,,103.72,15.77,76.07,,,,,103.72,11.93,63.93,,,,,103.72,13.6,70.85,,,,,103.72,12.56,75.51,,,,,103.72,16.26,72.88,,,,,103.72,20.4,52.04,,,,,103.72,19.98,58.47,,,,,103.72,9.98,55.86,,,,,103.72,3.04,54.87,,,,,103.72,8.81,72.68,,,,,103.72,11.54,65.99,,,,,103.72,12.28,52.46,,,,,103.72,11.29,"5,,13",,,,,103.72,15.9,67.42,,,,,103.72,11.62,70.48,,,,,103.72,10.8,56.93,,,,,103.72,11.69,60.06,,,,,103.72,13.09,76.78,,,,,103.72,15.3,63.66,,,,,103.72,16.27,60.54,,,,,103.72,13.78,65.22,,,,,103.72,8.82,68.06,,,,,103.72,9.27,61.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122.39,19.03,45.41,,,,,122.39,21.82,63.07,,,,,122.39,18.94,62.86,,,,,122.39,8.05,59.52,,,,,122.39,18.23,57.91,,,,,122.39,22.35,57.02,,,,,122.39,21.63,64.63,,,,,122.39,14.8,71.55,,,,,122.39,16.79,73.38,,,,,122.39,13.5,83.66,,,,,122.39,11.95,70.67,,,,,122.39,11.94,77.95,,,,,122.39,23.41,76.26,,,,,122.39,22.16,77.26,,,,,122.39,19.05,77.86,,,,,122.39,13.07,81.75,,,,,122.39,11.22,70.27,,,,,122.39,12.18,76.48,,,,,122.39,10.41,81.92,,,,,122.39,13.8,79.19,,,,,122.39,20.47,58.38,,,,,122.39,19.45,65.43,,,,,122.39,9.62,62.08,,,,,122.39,8.73,61.02,,,,,122.39,7.6,79.07,,,,,122.39,10.43,72.3,,,,,122.39,12.16,58.98,,,,,122.39,11.08,59.3,,,,,122.39,14.2,74.02,,,,,122.39,10.19,76.32,,,,,122.39,10.32,63.68,,,,,122.39,10.92,67.21,,,,,122.39,12.51,62.93,,,,,122.39,14.1,70.42,,,,,122.39,15.29,67.26,,,,,122.39,12.37,71.68,,,,,122.39,7.86,74.29,,,,,122.39,8.85,68.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.43,20.76,52.08,,,,,144.43,19.86,68.63,,,,,144.43,17.41,69.09,,,,,144.43,7.46,65.39,,,,,144.43,17.38,64.13,,,,,144.43,21.88,64.39,,,,,144.43,19.49,71.4,,,,,144.43,12.79,76.89,,,,,144.43,14.87,78.94,,,,,144.43,10.44,87.97,,,,,144.43,10.56,76.45,,,,,144.43,9.8,82.94,,,,,144.43,19.53,81.73,,,,,144.43,18.25,82.75,,,,,144.43,15.77,83.08,,,,,144.43,10.31,86.23,,,,,144.43,10.13,75.98,,,,,144.43,10.59,81.37,,,,,144.43,8.1,86.9,,,,,144.43,11.07,84.24,,,,,144.43,20.06,64.6,,,,,144.43,18.24,71.95,,,,,144.43,9.3,68.09,,,,,144.43,8.26,66.84,,,,,144.43,6.22,84.3,,,,,144.43,9.1,77.81,,,,,144.43,11.7,65.26,,,,,144.43,10.62,65.23,,,,,144.43,12.34,79.75,,,,,144.43,8.69,81.31,,,,,144.43,9.57,69.95,,,,,144.43,10.05,73.78,,,,,144.43,11.78,68.73,,,,,144.43,12.45,76.39,,,,,144.43,14.04,73.43,,,,,144.43,10.92,77.39,,,,,144.43,6.84,79.72,,,,,144.43,8.05,74.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170.44,22.58,59.34,,,,,170.44,18.55,73.83,,,,,170.44,15.94,74.8,,,,,170.44,7.26,71.11,,,,,170.44,16.98,70.2,,,,,170.44,20.56,71.32,,,,,170.44,17.13,77.35,,,,,170.44,11.1,81.53,,,,,170.44,13.25,83.89,,,,,170.44,7.8,91.19,,,,,170.44,9.17,81.48,,,,,170.44,7.67,86.84,,,,,170.44,15.73,86.13,,,,,170.44,14.33,87.06,,,,,170.44,12.5,87.22,,,,,170.44,7.8,89.62,,,,,170.44,9.13,81.14,,,,,170.44,9.05,85.56,,,,,170.44,6.28,90.77,,,,,170.44,8.76,88.24,,,,,170.44,19.29,70.59,,,,,170.44,16.32,77.79,,,,,170.44,8.9,73.84,,,,,170.44,7.98,72.46,,,,,170.44,5.01,88.51,,,,,170.44,7.94,82.61,,,,,170.44,11.26,71.3,,,,,170.44,10.31,70.98,,,,,170.44,10.23,84.5,,,,,170.44,7.43,85.57,,,,,170.44,8.83,75.73,,,,,170.44,8.89,79.59,,,,,170.44,11.09,74.19,,,,,170.44,10.88,81.61,,,,,170.44,12.67,79,,,,,170.44,9.52,82.36,,,,,170.44,5.95,84.44,,,,,170.44,7.4,79.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201.13,22.38,66.53,,,,,201.13,16.35,78.41,,,,,201.13,13.61,79.68,,,,,201.13,6.81,76.48,,,,,201.13,15.89,75.88,,,,,201.13,17.39,77.17,,,,,201.13,13.87,82.17,,,,,201.13,8.96,85.27,,,,,201.13,10.54,87.82,,,,,201.13,5.63,93.52,,,,,201.13,7.72,85.71,,,,,201.13,5.83,89.8,,,,,201.13,12.17,89.53,,,,,201.13,10.79,90.31,,,,,201.13,9.45,90.35,,,,,201.13,5.73,92.11,,,,,201.13,7.85,85.56,,,,,201.13,7.12,88.85,,,,,201.13,4.55,93.57,,,,,201.13,6.37,91.15,,,,,201.13,17.33,75.96,,,,,201.13,13.43,82.59,,,,,201.13,8.21,79.14,,,,,201.13,7.5,77.74,,,,,201.13,3.84,91.74,,,,,201.13,6.6,86.6,,,,,201.13,10.54,76.96,,,,,201.13,9.67,76.37,,,,,201.13,7.88,88.16,,,,,201.13,6.12,89.08,,,,,201.13,7.9,80.9,,,,,201.13,7.53,84.51,,,,,201.13,10.27,79.24,,,,,201.13,"9,,08",85.97,,,,,201.13,10.93,83.81,,,,,201.13,7.94,86.51,,,,,201.13,4.97,88.38,,,,,201.13,6.36,84.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237.35,23.07,73.94,,,,,237.35,15.89,82.87,,,,,237.35,12.46,84.14,,,,,237.35,6.61,81.69,,,,,237.35,15.46,81.41,,,,,237.35,15.45,82.38,,,,,237.35,12.04,86.35,,,,,237.35,7.84,88.55,,,,,237.35,8.54,91.01,,,,,237.35,4.31,95.3,,,,,237.35,6.79,89.43,,,,,237.35,4.75,92.22,,,,,237.35,9.78,92.27,,,,,237.35,8.47,92.86,,,,,237.35,7.44,92.82,,,,,237.35,4.44,94.04,,,,,237.35,6.82,89.41,,,,,237.35,5.97,91.61,,,,,237.35,3.34,95.63,,,,,237.35,4.99,93.43,,,,,237.35,16.58,81.1,,,,,237.35,11.59,86.74,,,,,237.35,7.82,84.2,,,,,237.35,7.26,82.85,,,,,237.35,2.99,94.26,,,,,237.35,5.68,90.04,,,,,237.35,10.11,82.38,,,,,237.35,9.47,81.65,,,,,237.35,6.46,91.16,,,,,237.35,5.12,92.02,,,,,237.35,7.14,85.57,,,,,237.35,6.5,88.76,,,,,237.35,9.74,84.03,,,,,237.35,7.74,89.68,,,,,237.35,9.58,88.02,,,,,237.35,6.73,90.03,,,,,237.35,4.5,91.71,,,,,237.35,5.55,88.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280.09,22.32,81.11,,,,,280.09,16.53,87.5,,,,,280.09,12.29,88.54,,,,,280.09,6.34,86.69,,,,,280.09,14.69,86.67,,,,,280.09,14.84,87.38,,,,,280.09,11.18,90.24,,,,,280.09,7.52,91.69,,,,,280.09,6.79,93.55,,,,,280.09,3.53,96.76,,,,,280.09,5.8,92.6,,,,,280.09,4.35,94.43,,,,,280.09,8.33,94.6,,,,,280.09,7.16,95.01,,,,,280.09,6.45,94.95,,,,,280.09,3.9,95.74,,,,,280.09,5.77,92.67,,,,,280.09,5.46,94.13,,,,,280.09,2.4,97.11,,,,,280.09,4.31,95.4,,,,,280.09,16.72,86.28,,,,,280.09,10.69,90.56,,,,,280.09,7.22,88.87,,,,,280.09,6.89,87.71,,,,,280.09,2.27,96.18,,,,,280.09,4.83,92.96,,,,,280.09,9.45,87.45,,,,,280.09,9.26,86.82,,,,,280.09,5.8,93.85,,,,,280.09,4.25,94.45,,,,,280.09,6.4,89.76,,,,,280.09,5.46,92.33,,,,,280.09,9.15,88.53,,,,,280.09,6.49,92.79,,,,,280.09,8.2,91.62,,,,,280.09,5.63,92.97,,,,,280.09,3.4,94.4,,,,,280.09,4.65,92.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330.52,19.82,87.48,,,,,330.52,17.34,92.35,,,,,330.52,12.26,92.94,,,,,330.52,6.22,91.58,,,,,330.52,13.95,91.66,,,,,330.52,14.53,92.27,,,,,330.52,10.85,94,,,,,330.52,7.49,94.82,,,,,330.52,5.81,95.72,,,,,330.52,3.05,98.02,,,,,330.52,5.04,95.36,,,,,330.52,4.22,96.57,,,,,330.52,7.42,96.67,,,,,330.52,6.32,96.91,,,,,330.52,5.84,96.89,,,,,330.52,3.64,97.32,,,,,330.52,4.88,95.42,,,,,330.52,5.09,96.49,,,,,330.52,1.79,98.21,,,,,330.52,3.9,97.18,,,,,330.52,16.89,91.52,,,,,330.52,10.1,94.17,,,,,330.52,6.62,93.14,,,,,330.52,6.49,92.28,,,,,330.52,1.76,97.65,,,,,330.52,4.19,95.5,,,,,330.52,8.75,92.14,,,,,330.52,8.85,91.75,,,,,330.52,5.33,96.33,,,,,330.52,3.58,96.51,,,,,330.52,5.74,93.51,,,,,330.52,4.59,95.33,,,,,330.52,8.55,92.74,,,,,330.52,5.57,95.46,,,,,330.52,7.14,94.76,,,,,330.52,4.85,95.5,,,,,330.52,2.75,96.59,,,,,330.52,3.88,95.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390.04,17.57,93.13,,,,,390.04,15.24,96.62,,,,,390.04,10.84,96.82,,,,,390.04,5.64,96.03,,,,,390.04,12.36,96.08,,,,,390.04,12.67,96.54,,,,,390.04,9.43,97.28,,,,,390.04,6.7,97.62,,,,,390.04,5.44,97.75,,,,,390.04,2.51,99.06,,,,,390.04,4.33,97.74,,,,,390.04,3.66,98.44,,,,,390.04,6.28,98.43,,,,,390.04,5.36,98.53,,,,,390.04,4.97,98.53,,,,,390.04,3.22,98.72,,,,,390.04,4.14,97.76,,,,,390.04,4.2,98.43,,,,,390.04,1.42,99.08,,,,,390.04,3.29,98.68,,,,,390.04,15.05,96.19,,,,,390.04,8.78,97.31,,,,,390.04,5.65,96.8,,,,,390.04,5.75,96.33,,,,,390.04,1.41,98.84,,,,,390.04,3.69,97.74,,,,,390.04,7.64,96.24,,,,,390.04,7.75,96.07,,,,,390.04,4.37,98.36,,,,,390.04,3.07,98.27,,,,,390.04,5.1,96.85,,,,,390.04,3.77,97.79,,,,,390.04,7.62,96.49,,,,,390.04,4.79,97.76,,,,,390.04,6.1,97.44,,,,,390.04,4.25,97.72,,,,,390.04,2.22,98.35,,,,,390.04,3.24,97.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460.27,21.39,100,,,,,460.27,12.05,100,,,,,460.27,8.88,100,,,,,460.27,5.04,100,,,,,460.27,10.96,100,,,,,460.27,10.26,100,,,,,460.27,7.83,100,,,,,460.27,5.7,100,,,,,460.27,6.03,100,,,,,460.27,2.28,100,,,,,460.27,4.13,100,,,,,460.27,3.08,100,,,,,460.27,5.62,100,,,,,460.27,4.9,100,,,,,460.27,4.42,100,,,,,460.27,2.95,100,,,,,460.27,3.97,100,,,,,460.27,3.4,100,,,,,460.27,1.49,100,,,,,460.27,2.9,100,,,,,460.27,12.3,100,,,,,460.27,7.51,100,,,,,460.27,4.96,100,,,,,460.27,5.21,100,,,,,460.27,1.38,100,,,,,460.27,3.74,100,,,,,460.27,7,100,,,,,460.27,7.04,100,,,,,460.27,3.54,100,,,,,460.27,3.02,100,,,,,460.27,4.81,100,,,,,460.27,3.38,100,,,,,460.27,7.14,100,,,,,460.27,4.67,100,,,,,460.27,5.83,100,,,,,460.27,4.36,100,,,,,460.27,2.09,100,,,,,460.27,3.03,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
